            # x       dy_Adelante(O1)        dy_Central(O2)             dy_Exacta     Error_Rel_Central
   -0.100000000000E+02   -0.841007370121E+00   -0.841007370121E+00   -0.943015149527E+00    0.108171941306E+00
   -0.980000000000E+01   -0.830144017157E+00   -0.835575693639E+00   -0.884829970302E+00    0.556652445282E-01
   -0.960000000000E+01   -0.808417311228E+00   -0.819280664193E+00   -0.822449402544E+00    0.385280643618E-02
   -0.940000000000E+01   -0.775827252335E+00   -0.792122281782E+00   -0.761811372185E+00    0.397879458134E-01
   -0.920000000000E+01   -0.732373840478E+00   -0.754100546407E+00   -0.710828176404E+00    0.608759914682E-01
   -0.900000000000E+01   -0.687303279153E+00   -0.709838559815E+00   -0.678422690849E+00    0.463072202473E-01
   -0.880000000000E+01   -0.677600382346E+00   -0.682451830750E+00   -0.672945035849E+00    0.141271491637E-01
   -0.860000000000E+01   -0.712511353555E+00   -0.695055867951E+00   -0.700094896947E+00    0.719763708946E-02
   -0.840000000000E+01   -0.792036192779E+00   -0.752273773167E+00   -0.760639167555E+00    0.109978485796E-01
   -0.820000000000E+01   -0.916174900018E+00   -0.854105546399E+00   -0.848369621111E+00    0.676111584515E-02
   -0.800000000000E+01   -0.106115277944E+01   -0.988663839729E+00   -0.948849325151E+00    0.419608398538E-01
   -0.780000000000E+01   -0.113187104771E+01   -0.109651191358E+01   -0.103950624433E+01    0.548391792363E-01
   -0.760000000000E+01   -0.110455500900E+01   -0.111821302836E+01   -0.109151362528E+01    0.244608976562E-01
   -0.740000000000E+01   -0.979204663314E+00   -0.104187983616E+01   -0.107363561317E+01    0.295777977359E-01
   -0.720000000000E+01   -0.755820010642E+00   -0.867512336978E+00   -0.957830125004E+00    0.942941610086E-01
   -0.700000000000E+01   -0.444949492026E+00   -0.600384751334E+00   -0.725942309246E+00    0.172958038557E+00
   -0.680000000000E+01   -0.887868716151E-01   -0.266868181820E+00   -0.376377604921E+00    0.290956267505E+00
   -0.660000000000E+01    0.302119409552E+00    0.106666268969E+00    0.706778959970E-01    0.509188515929E+00
   -0.640000000000E+01    0.727769351477E+00    0.514944380515E+00    0.571010376416E+00    0.981873503827E-01
   -0.620000000000E+01    0.118816295416E+01    0.957966152818E+00    0.105839567738E+01    0.948884492940E-01
   -0.600000000000E+01    0.161882355845E+01    0.140349325630E+01    0.145159323134E+01    0.331359874076E-01
   -0.580000000000E+01    0.176184452774E+01    0.169033404309E+01    0.166614229368E+01    0.145196178655E-01
   -0.560000000000E+01    0.155274920289E+01    0.165729686531E+01    0.162971770198E+01    0.169226629216E-01
   -0.540000000000E+01    0.991537583885E+00    0.127214339339E+01    0.129874960306E+01    0.204860194892E-01
   -0.520000000000E+01    0.782096707390E-01    0.534873627312E+00    0.673215044885E+00    0.205493651136E+00
   -0.500000000000E+01   -0.107448478931E+01   -0.498137559284E+00   -0.193795337432E+00    0.157043108407E+01
   -0.480000000000E+01   -0.201554680727E+01   -0.154501579829E+01   -0.119477112736E+01    0.293147920058E+00
   -0.460000000000E+01   -0.263222663591E+01   -0.232388672159E+01   -0.217668653434E+01    0.676258087337E-01
   -0.440000000000E+01   -0.292452427521E+01   -0.277837545556E+01   -0.296034991140E+01    0.614705900598E-01
   -0.420000000000E+01   -0.289243972519E+01   -0.290848200020E+01   -0.336834171507E+01    0.136524068450E+00
   -0.400000000000E+01   -0.251756235422E+01   -0.270500103970E+01   -0.325760343577E+01    0.169634643062E+00
   -0.380000000000E+01   -0.172624963580E+01   -0.212190599501E+01   -0.255112154505E+01    0.168245825397E+00
   -0.360000000000E+01   -0.500090938325E+00   -0.111317028706E+01   -0.126242002120E+01    0.118225100705E+00
   -0.340000000000E+01    0.116091373822E+01    0.330411399947E+00    0.492969443025E+00    0.329752777537E+00
