            # x          y_Recuperada              y_Exacta        Error_Relativo
   -0.100000000000E+02    0.501144384008E+01    0.501144384008E+01    0.000000000000E+00
   -0.980000000000E+01    0.484378553371E+01    0.482855218054E+01    0.315484903074E-02
   -0.960000000000E+01    0.467829989792E+01    0.465779686432E+01    0.440187371884E-02
   -0.940000000000E+01    0.451715960332E+01    0.449946080150E+01    0.393353839612E-02
   -0.920000000000E+01    0.436253732051E+01    0.435243107531E+01    0.232197707909E-02
   -0.900000000000E+01    0.421614340988E+01    0.421388988182E+01    0.534785703817E-03
   -0.880000000000E+01    0.407691437083E+01    0.407926098115E+01    0.575253786158E-03
   -0.860000000000E+01    0.393916360096E+01    0.394252567902E+01    0.852772646610E-03
   -0.840000000000E+01    0.379443063685E+01    0.379698102013E+01    0.671687129810E-03
   -0.820000000000E+01    0.363379270489E+01    0.363643895267E+01    0.727703068459E-03
   -0.800000000000E+01    0.344951576628E+01    0.345676466025E+01    0.209701691713E-02
   -0.780000000000E+01    0.324099819095E+01    0.325753963961E+01    0.507789635590E-02
   -0.760000000000E+01    0.301952569675E+01    0.304353296073E+01    0.788795925101E-02
   -0.740000000000E+01    0.280351641030E+01    0.282560000564E+01    0.781554193802E-02
   -0.720000000000E+01    0.261257719299E+01    0.262062917704E+01    0.307253850524E-02
   -0.700000000000E+01    0.246578748416E+01    0.245024395822E+01    0.634366462924E-02
   -0.680000000000E+01    0.237906219084E+01    0.233814657634E+01    0.174991657577E-01
   -0.660000000000E+01    0.236304199956E+01    0.230624684958E+01    0.246266569370E-01
   -0.640000000000E+01    0.242520306450E+01    0.237001979863E+01    0.232838839168E-01
   -0.620000000000E+01    0.257249411784E+01    0.253382253987E+01    0.152621493253E-01
   -0.600000000000E+01    0.280864005875E+01    0.278710702853E+01    0.772594306352E-02
   -0.580000000000E+01    0.311802278869E+01    0.310252333343E+01    0.499575783697E-02
   -0.560000000000E+01    0.345278587953E+01    0.343676799840E+01    0.466073972151E-02
   -0.540000000000E+01    0.374572990540E+01    0.373467601308E+01    0.295979953294E-02
   -0.520000000000E+01    0.392643160747E+01    0.393650981549E+01    0.256018871901E-02
   -0.500000000000E+01    0.393010521427E+01    0.398773993727E+01    0.144529793590E-01
   -0.480000000000E+01    0.372578987851E+01    0.384995665718E+01    0.322514744258E-01
   -0.460000000000E+01    0.333889962653E+01    0.351104167240E+01    0.490287675088E-01
   -0.440000000000E+01    0.282867340881E+01    0.299250148425E+01    0.547461968864E-01
   -0.420000000000E+01    0.225998766323E+01    0.235202304481E+01    0.391303060497E-01
   -0.400000000000E+01    0.169863935924E+01    0.167989549070E+01    0.111577587132E-01
   -0.380000000000E+01    0.121594865577E+01    0.108890262202E+01    0.116673457459E+00
   -0.360000000000E+01    0.892441027565E+00    0.698492847332E+00    0.277666666129E+00
   -0.340000000000E+01    0.814165138853E+00    0.615266271109E+00    0.323272828504E+00
   -0.320000000000E+01    0.106809018545E+01    0.912832803083E+00    0.170083044609E+00
   -0.300000000000E+01    0.172870893014E+01    0.161465053143E+01    0.706396811496E-01
   -0.280000000000E+01    0.279565553757E+01    0.268337336499E+01    0.418436636684E-01
   -0.260000000000E+01    0.414379984212E+01    0.401945458766E+01    0.309358525531E-01
   -0.240000000000E+01    0.557315308004E+01    0.547034057065E+01    0.187945353779E-01
   -0.220000000000E+01    0.687125005453E+01    0.684975819625E+01    0.313760831602E-02
   -0.200000000000E+01    0.783657902122E+01    0.796467223306E+01    0.160826720921E-01
   -0.180000000000E+01    0.833334895013E+01    0.864583946158E+01    0.361434552229E-01
   -0.160000000000E+01    0.833530333535E+01    0.877686770671E+01    0.503100178918E-01
   -0.140000000000E+01    0.788190638535E+01    0.831655488498E+01    0.522630470951E-01
   -0.120000000000E+01    0.702357576103E+01    0.731013060087E+01    0.391996881429E-01
   -0.100000000000E+01    0.581831637052E+01    0.588675371140E+01    0.116256504423E-01
   -0.800000000000E+00    0.436965660544E+01    0.424295180854E+01    0.298624171618E-01
   -0.600000000000E+00    0.285699732990E+01    0.261420339811E+01    0.928749201262E-01
   -0.400000000000E+00    0.150526289149E+01    0.123908318886E+01    0.214819880558E+00
   -0.200000000000E+00    0.546964885049E+00    0.321875490452E+00    0.699305791446E+00
    0.000000000000E+00    0.195238939174E+00    0.000000000000E+00    0.000000000000E+00
    0.200000000000E+00    0.546964885049E+00    0.321875490452E+00    0.699305791446E+00
    0.400000000000E+00    0.150526289149E+01    0.123908318886E+01    0.214819880558E+00
    0.600000000000E+00    0.285699732990E+01    0.261420339811E+01    0.928749201262E-01
    0.800000000000E+00    0.436965660544E+01    0.424295180854E+01    0.298624171618E-01
    0.100000000000E+01    0.581831637052E+01    0.588675371140E+01    0.116256504423E-01
    0.120000000000E+01    0.702357576103E+01    0.731013060087E+01    0.391996881429E-01
    0.140000000000E+01    0.788190638535E+01    0.831655488498E+01    0.522630470951E-01
    0.160000000000E+01    0.833530333535E+01    0.877686770671E+01    0.503100178918E-01
    0.180000000000E+01    0.833334895013E+01    0.864583946158E+01    0.361434552229E-01
    0.200000000000E+01    0.783657902122E+01    0.796467223306E+01    0.160826720921E-01
    0.220000000000E+01    0.687125005453E+01    0.684975819625E+01    0.313760831602E-02
    0.240000000000E+01    0.557315308004E+01    0.547034057065E+01    0.187945353779E-01
    0.260000000000E+01    0.414379984212E+01    0.401945458766E+01    0.309358525531E-01
    0.280000000000E+01    0.279565553757E+01    0.268337336499E+01    0.418436636684E-01
    0.300000000000E+01    0.172870893014E+01    0.161465053143E+01    0.706396811496E-01
    0.320000000000E+01    0.106809018545E+01    0.912832803083E+00    0.170083044609E+00
    0.340000000000E+01    0.814165138853E+00    0.615266271109E+00    0.323272828504E+00
    0.360000000000E+01    0.892441027565E+00    0.698492847332E+00    0.277666666129E+00
    0.380000000000E+01    0.121594865577E+01    0.108890262202E+01    0.116673457459E+00
    0.400000000000E+01    0.169863935924E+01    0.167989549070E+01    0.111577587132E-01
    0.420000000000E+01    0.225998766323E+01    0.235202304481E+01    0.391303060497E-01
    0.440000000000E+01    0.282867340881E+01    0.299250148425E+01    0.547461968864E-01
    0.460000000000E+01    0.333889962653E+01    0.351104167240E+01    0.490287675088E-01
    0.480000000000E+01    0.372578987851E+01    0.384995665718E+01    0.322514744258E-01
    0.500000000000E+01    0.393010521427E+01    0.398773993727E+01    0.144529793590E-01
    0.520000000000E+01    0.392643160747E+01    0.393650981549E+01    0.256018871901E-02
    0.540000000000E+01    0.374572990540E+01    0.373467601308E+01    0.295979953294E-02
    0.560000000000E+01    0.345278587953E+01    0.343676799840E+01    0.466073972151E-02
    0.580000000000E+01    0.311802278869E+01    0.310252333343E+01    0.499575783697E-02
    0.600000000000E+01    0.280864005875E+01    0.278710702853E+01    0.772594306352E-02
    0.620000000000E+01    0.257249411784E+01    0.253382253987E+01    0.152621493253E-01
    0.640000000000E+01    0.242520306450E+01    0.237001979863E+01    0.232838839168E-01
    0.660000000000E+01    0.236304199956E+01    0.230624684958E+01    0.246266569370E-01
    0.680000000000E+01    0.237906219084E+01    0.233814657634E+01    0.174991657577E-01
    0.700000000000E+01    0.246578748416E+01    0.245024395822E+01    0.634366462924E-02
    0.720000000000E+01    0.261257719299E+01    0.262062917704E+01    0.307253850524E-02
    0.740000000000E+01    0.280351641030E+01    0.282560000564E+01    0.781554193802E-02
    0.760000000000E+01    0.301952569675E+01    0.304353296073E+01    0.788795925101E-02
    0.780000000000E+01    0.324099819095E+01    0.325753963961E+01    0.507789635590E-02
    0.800000000000E+01    0.344951576628E+01    0.345676466025E+01    0.209701691713E-02
    0.820000000000E+01    0.363379270489E+01    0.363643895267E+01    0.727703068460E-03
    0.840000000000E+01    0.379443063685E+01    0.379698102013E+01    0.671687129810E-03
    0.860000000000E+01    0.393916360096E+01    0.394252567902E+01    0.852772646611E-03
    0.880000000000E+01    0.407691437083E+01    0.407926098115E+01    0.575253786159E-03
    0.900000000000E+01    0.421614340988E+01    0.421388988182E+01    0.534785703817E-03
    0.920000000000E+01    0.436253732051E+01    0.435243107531E+01    0.232197707909E-02
    0.940000000000E+01    0.451715960332E+01    0.449946080150E+01    0.393353839612E-02
    0.960000000000E+01    0.467829989792E+01    0.465779686432E+01    0.440187371884E-02
    0.980000000000E+01    0.484378553371E+01    0.482855218054E+01    0.315484903073E-02
    0.100000000000E+02    0.501144384008E+01    0.501144384008E+01    0.354460090961E-15
