            # x            y_Lagrange              y_Newton              y_Spline              y_Exacta
   -0.100000000000E+02    0.501144384008E+01    0.501144384008E+01    0.501144384008E+01    0.501144384008E+01
   -0.980000000000E+01    0.150735978276E+04    0.150735978276E+04    0.484324236606E+01    0.482855218054E+01
   -0.960000000000E+01    0.130778879598E+04    0.130778879598E+04    0.467721356263E+01    0.465779686432E+01
   -0.940000000000E+01    0.733773606730E+03    0.733773606730E+03    0.451553010038E+01    0.449946080150E+01
   -0.920000000000E+01    0.265921871176E+03    0.265921871176E+03    0.436036464991E+01    0.435243107531E+01
   -0.900000000000E+01    0.421388988182E+01    0.421388988182E+01    0.421388988182E+01    0.421388988182E+01
   -0.880000000000E+01   -0.923634166556E+02   -0.923634166556E+02    0.407642922599E+01    0.407926098115E+01
   -0.860000000000E+01   -0.945428393866E+02   -0.945428393866E+02    0.394090914952E+01    0.394252567902E+01
   -0.840000000000E+01   -0.597697045614E+02   -0.597697045614E+02    0.379840687881E+01    0.379698102013E+01
   -0.820000000000E+01   -0.222461007191E+02   -0.222461007191E+02    0.363999964025E+01    0.363643895267E+01
   -0.800000000000E+01    0.345676466025E+01    0.345676466025E+01    0.345676466025E+01    0.345676466025E+01
   -0.780000000000E+01    0.151306109215E+02    0.151306109215E+02    0.324453410436E+01    0.325753963961E+01
   -0.760000000000E+01    0.163858937410E+02    0.163858937410E+02    0.301815989482E+01    0.304353296073E+01
   -0.740000000000E+01    0.122350351304E+02    0.122350351304E+02    0.279724889302E+01    0.282560000564E+01
   -0.720000000000E+01    0.678125517514E+01    0.678125517514E+01    0.260140796035E+01    0.262062917704E+01
   -0.700000000000E+01    0.245024395822E+01    0.245024395822E+01    0.245024395822E+01    0.245024395822E+01
   -0.680000000000E+01    0.121504850020E+00    0.121504850020E+00    0.236125405982E+01    0.233814657634E+01
   -0.660000000000E+01   -0.360767848087E+00   -0.360767848087E+00    0.234349668550E+01    0.230624684958E+01
   -0.640000000000E+01    0.363770313837E+00    0.363770313837E+00    0.240392056741E+01    0.237001979863E+01
   -0.620000000000E+01    0.159079253437E+01    0.159079253437E+01    0.254947443770E+01    0.253382253987E+01
   -0.600000000000E+01    0.278710702853E+01    0.278710702853E+01    0.278710702853E+01    0.278710702853E+01
   -0.580000000000E+01    0.366508667114E+01    0.366508667114E+01    0.311087174022E+01    0.310252333343E+01
   -0.560000000000E+01    0.415003009526E+01    0.415003009526E+01    0.346324064577E+01    0.343676799840E+01
   -0.540000000000E+01    0.429863562276E+01    0.429863562276E+01    0.377379048635E+01    0.373467601308E+01
   -0.520000000000E+01    0.421446499235E+01    0.421446499235E+01    0.397209800313E+01    0.393650981549E+01
   -0.500000000000E+01    0.398773993727E+01    0.398773993727E+01    0.398773993727E+01    0.398773993727E+01
   -0.480000000000E+01    0.366890631180E+01    0.366890631180E+01    0.377284297941E+01    0.384995665718E+01
   -0.460000000000E+01    0.327197039021E+01    0.327197039021E+01    0.336973361796E+01    0.351104167240E+01
   -0.440000000000E+01    0.279605684264E+01    0.279605684264E+01    0.284328829078E+01    0.299250148425E+01
   -0.420000000000E+01    0.225161926759E+01    0.225161926759E+01    0.225838343573E+01    0.235202304481E+01
   -0.400000000000E+01    0.167989549070E+01    0.167989549070E+01    0.167989549070E+01    0.167989549070E+01
   -0.380000000000E+01    0.115877752772E+01    0.115877752772E+01    0.117638301985E+01    0.108890262202E+01
   -0.360000000000E+01    0.793547038776E+00    0.793547038776E+00    0.831133092691E+00    0.698492847332E+00
   -0.340000000000E+01    0.695542807545E+00    0.695542807545E+00    0.731114905026E+00    0.615266271109E+00
   -0.320000000000E+01    0.954898442133E+00    0.954898442133E+00    0.963297652670E+00    0.912832803083E+00
   -0.300000000000E+01    0.161465053143E+01    0.161465053143E+01    0.161465053143E+01    0.161465053143E+01
   -0.280000000000E+01    0.265285345889E+01    0.265285345889E+01    0.272223700503E+01    0.268337336499E+01
   -0.260000000000E+01    0.397726190083E+01    0.397726190083E+01    0.412349760878E+01    0.401945458766E+01
   -0.240000000000E+01    0.543426126872E+01    0.543426126872E+01    0.560596714589E+01    0.547034057065E+01
   -0.220000000000E+01    0.683069751892E+01    0.683069751892E+01    0.695718041958E+01    0.684975819625E+01
   -0.200000000000E+01    0.796467223306E+01    0.796467223306E+01    0.796467223306E+01    0.796467223306E+01
   -0.180000000000E+01    0.865966588579E+01    0.865966588579E+01    0.845979119916E+01    0.864583946158E+01
   -0.160000000000E+01    0.879577008515E+01    0.879577008515E+01    0.844914116915E+01    0.877686770671E+01
   -0.140000000000E+01    0.833237397825E+01    0.833237397825E+01    0.798313980393E+01    0.831655488498E+01
   -0.120000000000E+01    0.731819467708E+01    0.731819467708E+01    0.711220476439E+01    0.731013060087E+01
