            # x       dy_Adelante(O1)          dy_Atras(O1)        dy_Central(O2)             dy_Exacta     Error_Rel_Central
   -0.100000000000E+02   -0.842745506596E+00   -0.842745506596E+00   -0.842745506596E+00   -0.943015149527E+00    0.106328772111E+00
   -0.996000000000E+01   -0.842310972477E+00   -0.842745506596E+00   -0.842528239536E+00   -0.931920477514E+00    0.959226029841E-01
   -0.992000000000E+01   -0.841441904240E+00   -0.842310972477E+00   -0.841876438359E+00   -0.920527838111E+00    0.854416308730E-01
   -0.988000000000E+01   -0.840138301884E+00   -0.841441904240E+00   -0.840790103062E+00   -0.908862115405E+00    0.748980634017E-01
   -0.984000000000E+01   -0.838400165410E+00   -0.840138301884E+00   -0.839269233647E+00   -0.896951985876E+00    0.643097435949E-01
   -0.980000000000E+01   -0.836227494817E+00   -0.838400165410E+00   -0.837313830114E+00   -0.884829970302E+00    0.537008711088E-01
   -0.976000000000E+01   -0.833620290106E+00   -0.836227494817E+00   -0.834923892461E+00   -0.872532458019E+00    0.431027696587E-01
   -0.972000000000E+01   -0.830578551276E+00   -0.833620290106E+00   -0.832099420691E+00   -0.860099701308E+00    0.325546917112E-01
   -0.968000000000E+01   -0.827102278327E+00   -0.830578551276E+00   -0.828840414801E+00   -0.847575777802E+00    0.221046465590E-01
   -0.964000000000E+01   -0.823191471260E+00   -0.827102278327E+00   -0.825146874793E+00   -0.835008518929E+00    0.118102317666E-01
   -0.960000000000E+01   -0.818846130074E+00   -0.823191471260E+00   -0.821018800667E+00   -0.822449402544E+00    0.173944059395E-02
   -0.956000000000E+01   -0.814066254770E+00   -0.818846130074E+00   -0.816456192422E+00   -0.809953408093E+00    0.802859061292E-02
   -0.952000000000E+01   -0.808851845347E+00   -0.814066254770E+00   -0.811459050058E+00   -0.797578832854E+00    0.174029407913E-01
   -0.948000000000E+01   -0.803202901805E+00   -0.808851845347E+00   -0.806027373576E+00   -0.785387068033E+00    0.262804244982E-01
   -0.944000000000E+01   -0.797119424145E+00   -0.803202901805E+00   -0.800161162975E+00   -0.773442333742E+00    0.345453410905E-01
   -0.940000000000E+01   -0.790601412367E+00   -0.797119424145E+00   -0.793860418256E+00   -0.761811372185E+00    0.420695295988E-01
   -0.936000000000E+01   -0.783648866470E+00   -0.790601412367E+00   -0.787125139418E+00   -0.750563098670E+00    0.487128141694E-01
   -0.932000000000E+01   -0.776261786454E+00   -0.783648866470E+00   -0.779955326462E+00   -0.739768210422E+00    0.543239294054E-01
