            # x          y_Recuperada              y_Exacta        Error_Relativo
   -0.100000000000E+02    0.501144384008E+01    0.501144384008E+01    0.000000000000E+00
   -0.996000000000E+01    0.497773836516E+01    0.497394409679E+01    0.762828912638E-03
   -0.992000000000E+01    0.494405027160E+01    0.493689417643E+01    0.144951358362E-02
   -0.988000000000E+01    0.491039694077E+01    0.490030551254E+01    0.205934675013E-02
   -0.984000000000E+01    0.487679575404E+01    0.486418846767E+01    0.259185811890E-02
   -0.980000000000E+01    0.484326409276E+01    0.482855218054E+01    0.304685787256E-02
   -0.976000000000E+01    0.480981933831E+01    0.479340441172E+01    0.342448188899E-02
   -0.972000000000E+01    0.477647887205E+01    0.475875138886E+01    0.372523835387E-02
   -0.968000000000E+01    0.474326007534E+01    0.472459765284E+01    0.395005540578E-02
   -0.964000000000E+01    0.471018032955E+01    0.469094590606E+01    0.410032941552E-02
   -0.960000000000E+01    0.467725701604E+01    0.465779686432E+01    0.417797346837E-02
   -0.956000000000E+01    0.464450751618E+01    0.462514911371E+01    0.418546559060E-02
   -0.952000000000E+01    0.461194921133E+01    0.459299897412E+01    0.412589624089E-02
   -0.948000000000E+01    0.457959948285E+01    0.456134037087E+01    0.400301457488E-02
   -0.944000000000E+01    0.454747571212E+01    0.453016471606E+01    0.382127298739E-02
   -0.940000000000E+01    0.451559528050E+01    0.449946080150E+01    0.358586944291E-02
   -0.936000000000E+01    0.448397556934E+01    0.446921470458E+01    0.330278712109E-02
   -0.932000000000E+01    0.445263396003E+01    0.443940970907E+01    0.297883093070E-02
   -0.928000000000E+01    0.442158783391E+01    0.441002624238E+01    0.262166048266E-02
   -0.924000000000E+01    0.439085457236E+01    0.438104183093E+01    0.223981915947E-02
   -0.920000000000E+01    0.436045155674E+01    0.435243107531E+01    0.184275897476E-02
   -0.916000000000E+01    0.433039616841E+01    0.432416564686E+01    0.144086098044E-02
   -0.912000000000E+01    0.430070578874E+01    0.429621430699E+01    0.104545104973E-02
   -0.908000000000E+01    0.427139779910E+01    0.426854295088E+01    0.668810939118E-03
   -0.904000000000E+01    0.424248958085E+01    0.424111467674E+01    0.324184610129E-03
   -0.900000000000E+01    0.421399481687E+01    0.421388988182E+01    0.249021809272E-04
   -0.896000000000E+01    0.418590499915E+01    0.418682638632E+01    0.220068156882E-03
   -0.892000000000E+01    0.415817463489E+01    0.415987958601E+01    0.409855882958E-03
   -0.888000000000E+01    0.413073604036E+01    0.413300263429E+01    0.548413377172E-03
   -0.884000000000E+01    0.410351783339E+01    0.410614665429E+01    0.640216027492E-03
   -0.880000000000E+01    0.407644863178E+01    0.407926098115E+01    0.689426193578E-03
   -0.876000000000E+01    0.404945705335E+01    0.405229343483E+01    0.699944742053E-03
   -0.872000000000E+01    0.402247171590E+01    0.402519062302E+01    0.675472883843E-03
   -0.868000000000E+01    0.399542123724E+01    0.399789827393E+01    0.619584719564E-03
   -0.864000000000E+01    0.396823423520E+01    0.397036159821E+01    0.535810896233E-03
   -0.860000000000E+01    0.394083932758E+01    0.394252567902E+01    0.427733787145E-03
   -0.856000000000E+01    0.391316513218E+01    0.391433588901E+01    0.299094627292E-03
   -0.852000000000E+01    0.388514026683E+01    0.388573833274E+01    0.153913069600E-03
   -0.848000000000E+01    0.385669334933E+01    0.385668031248E+01    0.338032787155E-05
   -0.844000000000E+01    0.382775299749E+01    0.382711081550E+01    0.167798117875E-03
   -0.840000000000E+01    0.379824782913E+01    0.379698102013E+01    0.333635852453E-03
   -0.836000000000E+01    0.376810646205E+01    0.376624481800E+01    0.494297142558E-03
   -0.832000000000E+01    0.373725751407E+01    0.373485934925E+01    0.642103114611E-03
   -0.828000000000E+01    0.370562960301E+01    0.370278554741E+01    0.768085420232E-03
   -0.824000000000E+01    0.367315134666E+01    0.366998869024E+01    0.861761895905E-03
   -0.820000000000E+01    0.363975136284E+01    0.363643895267E+01    0.910893928502E-03
   -0.816000000000E+01    0.360535826936E+01    0.360211195756E+01    0.901224570962E-03
