            # x            y_Lagrange              y_Newton              y_Spline              y_Exacta
   -0.100000000000E+02    0.501144384008E+01    0.501144384008E+01    0.501144384008E+01    0.501144384008E+01
   -0.996000000000E+01    0.552780260919E+03    0.552780260919E+03    0.497773401982E+01    0.497394409679E+01
   -0.992000000000E+01    0.952149811995E+03    0.952149811995E+03    0.494404158092E+01    0.493689417643E+01
   -0.988000000000E+01    0.122970905987E+04    0.122970905987E+04    0.491038390475E+01    0.490030551254E+01
   -0.984000000000E+01    0.140827889283E+04    0.140827889283E+04    0.487677837267E+01    0.486418846767E+01
   -0.980000000000E+01    0.150735978276E+04    0.150735978276E+04    0.484324236606E+01    0.482855218054E+01
   -0.976000000000E+01    0.154353368851E+04    0.154353368851E+04    0.480979326626E+01    0.479340441172E+01
   -0.972000000000E+01    0.153082427953E+04    0.153082427953E+04    0.477644845466E+01    0.475875138886E+01
   -0.968000000000E+01    0.148101923712E+04    0.148101923712E+04    0.474322531261E+01    0.472459765284E+01
   -0.964000000000E+01    0.140395809386E+04    0.140395809386E+04    0.471014122148E+01    0.469094590606E+01
   -0.960000000000E+01    0.130778879598E+04    0.130778879598E+04    0.467721356263E+01    0.465779686432E+01
   -0.956000000000E+01    0.119919591694E+04    0.119919591694E+04    0.464445971742E+01    0.462514911371E+01
   -0.952000000000E+01    0.108360321169E+04    0.108360321169E+04    0.461189706723E+01    0.459299897412E+01
   -0.948000000000E+01    0.965352979814E+03    0.965352979814E+03    0.457954299342E+01    0.456134037087E+01
   -0.944000000000E+01    0.847864499874E+03    0.847864499874E+03    0.454741487735E+01    0.453016471606E+01
   -0.940000000000E+01    0.733773606730E+03    0.733773606730E+03    0.451553010038E+01    0.449946080150E+01
   -0.936000000000E+01    0.625055306790E+03    0.625055306790E+03    0.448390604389E+01    0.446921470458E+01
   -0.932000000000E+01    0.523131162517E+03    0.523131162517E+03    0.445256008923E+01    0.443940970907E+01
   -0.928000000000E+01    0.428963026114E+03    0.428963026114E+03    0.442150961777E+01    0.441002624238E+01
   -0.924000000000E+01    0.343134562341E+03    0.343134562341E+03    0.439077201088E+01    0.438104183093E+01
   -0.920000000000E+01    0.265921871176E+03    0.265921871176E+03    0.436036464991E+01    0.435243107531E+01
   -0.916000000000E+01    0.197354401730E+03    0.197354401730E+03    0.433030491625E+01    0.432416564686E+01
   -0.912000000000E+01    0.137267238914E+03    0.137267238914E+03    0.430061019124E+01    0.429621430699E+01
   -0.908000000000E+01    0.853457430516E+02    0.853457430516E+02    0.427129785625E+01    0.426854295088E+01
   -0.904000000000E+01    0.411634295244E+02    0.411634295244E+02    0.424238529266E+01    0.424111467674E+01
   -0.900000000000E+01    0.421388988182E+01    0.421388988182E+01    0.421388988182E+01    0.421388988182E+01
   -0.896000000000E+01   -0.260625227235E+02   -0.260625227235E+02    0.418581421117E+01    0.418682638632E+01
   -0.892000000000E+01   -0.502565929954E+02   -0.502565929954E+02    0.415810169245E+01    0.415987958601E+01
   -0.888000000000E+01   -0.689721430714E+02   -0.689721430714E+02    0.413068094347E+01    0.413300263429E+01
   -0.884000000000E+01   -0.828114078242E+02   -0.828114078242E+02    0.410348058205E+01    0.410614665429E+01
   -0.880000000000E+01   -0.923634166556E+02   -0.923634166556E+02    0.407642922599E+01    0.407926098115E+01
   -0.876000000000E+01   -0.981949628755E+02   -0.981949628755E+02    0.404945549310E+01    0.405229343483E+01
   -0.872000000000E+01   -0.100843787612E+03   -0.100843787612E+03    0.402248800120E+01    0.402519062302E+01
   -0.868000000000E+01   -0.100813646905E+03   -0.100813646905E+03    0.399545536809E+01    0.399789827393E+01
   -0.864000000000E+01   -0.985709685209E+02   -0.985709685209E+02    0.396828621160E+01    0.397036159821E+01
   -0.860000000000E+01   -0.945428393866E+02   -0.945428393866E+02    0.394090914952E+01    0.394252567902E+01
   -0.856000000000E+01   -0.891160956184E+02   -0.891160956184E+02    0.391325279967E+01    0.391433588901E+01
   -0.852000000000E+01   -0.826373152488E+02   -0.826373152488E+02    0.388524577986E+01    0.388573833274E+01
   -0.848000000000E+01   -0.754135390718E+02   -0.754135390718E+02    0.385681670791E+01    0.385668031248E+01
   -0.844000000000E+01   -0.677135678445E+02   -0.677135678445E+02    0.382789420162E+01    0.382711081550E+01
   -0.840000000000E+01   -0.597697045614E+02   -0.597697045614E+02    0.379840687881E+01    0.379698102013E+01
   -0.836000000000E+01   -0.517798288641E+02   -0.517798288641E+02    0.376828335728E+01    0.376624481800E+01
   -0.832000000000E+01   -0.439097070493E+02   -0.439097070493E+02    0.373745225485E+01    0.373485934925E+01
   -0.828000000000E+01   -0.362954557497E+02   -0.362954557497E+02    0.370584218933E+01    0.370278554741E+01
   -0.824000000000E+01   -0.290460903521E+02   -0.290460903521E+02    0.367338177852E+01    0.366998869024E+01
   -0.820000000000E+01   -0.222461007191E+02   -0.222461007191E+02    0.363999964025E+01    0.363643895267E+01
   -0.816000000000E+01   -0.159580069402E+02   -0.159580069402E+02    0.360562439232E+01    0.360211195756E+01
   -0.812000000000E+01   -0.102248567663E+02   -0.102248567663E+02    0.357018465255E+01    0.356698931990E+01
   -0.808000000000E+01   -0.507263420927E+01   -0.507263420927E+01    0.353360903873E+01    0.353105917987E+01
   -0.804000000000E+01   -0.512555603142E+00   -0.512555603142E+00    0.349582616870E+01    0.349431671983E+01
   -0.800000000000E+01    0.345676466025E+01    0.345676466025E+01    0.345676466025E+01    0.345676466025E+01
   -0.796000000000E+01    0.684729140950E+01    0.684729140950E+01    0.341639117071E+01    0.341841372965E+01
   -0.792000000000E+01    0.967969730932E+01    0.967969730932E+01    0.337482451546E+01    0.337928310312E+01
   -0.788000000000E+01    0.119816474257E+02    0.119816474257E+02    0.333222154939E+01    0.333940080422E+01
   -0.784000000000E+01    0.137862412291E+02    0.137862412291E+02    0.328873912739E+01    0.329880406514E+01
   -0.780000000000E+01    0.151306109215E+02    0.151306109215E+02    0.324453410436E+01    0.325753963961E+01
   -0.776000000000E+01    0.160546728349E+02    0.160546728349E+02    0.319976333518E+01    0.321566406364E+01
   -0.772000000000E+01    0.166000269171E+02    0.166000269171E+02    0.315458367474E+01    0.317324385879E+01
   -0.768000000000E+01    0.168089979558E+02    0.168089979558E+02    0.310915197794E+01    0.313035567333E+01
   -0.764000000000E+01    0.167238111346E+02    0.167238111346E+02    0.306362509967E+01    0.308708635636E+01
   -0.760000000000E+01    0.163858937410E+02    0.163858937410E+02    0.301815989482E+01    0.304353296073E+01
   -0.756000000000E+01    0.158352943079E+02    0.158352943079E+02    0.297291321827E+01    0.299980267039E+01
   -0.752000000000E+01    0.151102101376E+02    0.151102101376E+02    0.292804192493E+01    0.295601264878E+01
