              t           I(t)           Q(t)
        0.00000        0.00000        0.00000
        0.02000        0.00763        0.00472
        0.04000        0.00480        0.00407
        0.06000       -0.00264        0.00423
        0.08000        0.00090        0.00420
        0.10000       -0.00025        0.00420
        0.12000        0.00006        0.00420
        0.14000       -0.00001        0.00420
        0.16000        0.00000        0.00420
        0.18000        0.00000        0.00420
        0.20000       -0.00000        0.00420
        0.22000        0.00000        0.00420
        0.24000       -0.00000        0.00420
        0.26000        0.00000        0.00420
        0.28000       -0.00000        0.00420
        0.30000        0.00000        0.00420
