 # Paso_MC    Energia    Magnetizacion
         100  -30178.0000       1886.00000    
         200  -30574.0000       3978.00000    
         300  -31002.0000       4612.00000    
         400  -30806.0000       5308.00000    
         500  -31062.0000       5578.00000    
         600  -30710.0000       5312.00000    
         700  -30942.0000       5748.00000    
         800  -31534.0000       6190.00000    
         900  -31158.0000       6508.00000    
        1000  -31442.0000       6612.00000    
        1100  -31450.0000       7370.00000    
        1200  -31474.0000       7606.00000    
        1300  -31434.0000       7982.00000    
        1400  -31486.0000       8180.00000    
        1500  -31558.0000       7924.00000    
        1600  -31826.0000       8702.00000    
        1700  -31778.0000       8874.00000    
        1800  -31894.0000       9218.00000    
        1900  -31750.0000       9178.00000    
        2000  -31790.0000       9168.00000    
        2100  -31830.0000       9122.00000    
        2200  -31782.0000       9146.00000    
        2300  -31802.0000       9172.00000    
        2400  -32002.0000       9226.00000    
        2500  -31686.0000       9088.00000    
        2600  -31910.0000       9242.00000    
        2700  -31622.0000       9106.00000    
        2800  -31714.0000       9142.00000    
        2900  -31874.0000       9172.00000    
        3000  -31834.0000       9172.00000    
        3100  -31662.0000       9070.00000    
        3200  -31594.0000       8994.00000    
        3300  -31554.0000       8984.00000    
        3400  -31754.0000       9144.00000    
        3500  -31634.0000       9048.00000    
        3600  -32074.0000       9206.00000    
        3700  -31902.0000       9132.00000    
        3800  -31878.0000       9186.00000    
        3900  -31770.0000       9134.00000    
        4000  -31990.0000       9232.00000    
        4100  -31822.0000       9172.00000    
        4200  -31666.0000       9104.00000    
        4300  -31910.0000       9194.00000    
        4400  -31834.0000       9116.00000    
        4500  -31466.0000       8966.00000    
        4600  -31922.0000       9180.00000    
        4700  -31886.0000       9164.00000    
        4800  -31654.0000       9112.00000    
        4900  -31710.0000       9124.00000    
        5000  -31870.0000       9152.00000    
        5100  -31702.0000       9108.00000    
        5200  -31670.0000       9126.00000    
        5300  -31858.0000       9150.00000    
        5400  -31722.0000       9082.00000    
        5500  -32134.0000       9324.00000    
        5600  -31818.0000       9162.00000    
        5700  -31630.0000       9090.00000    
        5800  -31954.0000       9158.00000    
        5900  -31966.0000       9204.00000    
        6000  -31710.0000       9180.00000    
        6100  -31750.0000       9058.00000    
        6200  -31926.0000       9148.00000    
        6300  -31610.0000       9044.00000    
        6400  -31826.0000       9126.00000    
        6500  -31870.0000       9188.00000    
        6600  -31654.0000       9108.00000    
        6700  -31906.0000       9182.00000    
        6800  -31702.0000       9100.00000    
        6900  -31534.0000       9014.00000    
        7000  -31790.0000       9124.00000    
        7100  -31946.0000       9266.00000    
        7200  -31934.0000       9198.00000    
        7300  -31622.0000       9088.00000    
        7400  -31718.0000       9116.00000    
        7500  -31850.0000       9144.00000    
        7600  -31634.0000       9098.00000    
        7700  -31778.0000       9188.00000    
        7800  -31818.0000       9096.00000    
        7900  -31662.0000       9090.00000    
        8000  -31494.0000       9012.00000    
        8100  -31450.0000       8964.00000    
        8200  -31846.0000       9216.00000    
        8300  -31810.0000       9200.00000    
        8400  -31850.0000       9176.00000    
        8500  -31834.0000       9162.00000    
        8600  -31702.0000       9088.00000    
        8700  -32094.0000       9234.00000    
        8800  -31706.0000       9122.00000    
        8900  -31738.0000       9058.00000    
        9000  -31762.0000       9136.00000    
        9100  -31766.0000       9180.00000    
        9200  -31622.0000       9052.00000    
        9300  -31574.0000       9064.00000    
        9400  -31834.0000       9154.00000    
        9500  -31778.0000       9134.00000    
        9600  -31890.0000       9168.00000    
        9700  -31914.0000       9180.00000    
        9800  -31734.0000       9154.00000    
        9900  -31894.0000       9198.00000    
       10000  -31802.0000       9074.00000    
       10100  -31790.0000       9170.00000    
       10200  -31662.0000       9090.00000    
       10300  -31734.0000       9166.00000    
       10400  -31786.0000       9128.00000    
       10500  -31806.0000       9110.00000    
       10600  -31674.0000       9130.00000    
       10700  -31746.0000       9054.00000    
       10800  -31490.0000       8982.00000    
       10900  -31722.0000       9108.00000    
       11000  -32058.0000       9262.00000    
       11100  -31518.0000       9006.00000    
       11200  -31858.0000       9214.00000    
       11300  -31722.0000       9124.00000    
       11400  -31578.0000       9060.00000    
       11500  -31634.0000       9112.00000    
       11600  -31858.0000       9192.00000    
       11700  -31714.0000       9136.00000    
       11800  -31782.0000       9084.00000    
       11900  -31562.0000       9076.00000    
       12000  -31654.0000       9094.00000    
       12100  -31606.0000       9058.00000    
       12200  -31674.0000       9114.00000    
       12300  -31782.0000       9126.00000    
       12400  -31974.0000       9154.00000    
       12500  -31866.0000       9198.00000    
       12600  -31966.0000       9244.00000    
       12700  -31762.0000       9138.00000    
       12800  -31674.0000       9094.00000    
       12900  -32150.0000       9258.00000    
       13000  -31730.0000       9124.00000    
       13100  -32022.0000       9264.00000    
       13200  -31674.0000       9130.00000    
       13300  -31854.0000       9126.00000    
       13400  -32130.0000       9302.00000    
       13500  -31542.0000       8896.00000    
       13600  -31742.0000       9048.00000    
       13700  -31486.0000       8912.00000    
       13800  -32014.0000       9248.00000    
       13900  -31974.0000       9158.00000    
       14000  -31866.0000       9206.00000    
       14100  -31958.0000       9178.00000    
       14200  -31998.0000       9206.00000    
       14300  -31294.0000       8876.00000    
       14400  -31578.0000       9014.00000    
       14500  -31570.0000       9038.00000    
       14600  -31682.0000       9146.00000    
       14700  -31770.0000       9106.00000    
       14800  -31650.0000       9038.00000    
       14900  -31678.0000       9072.00000    
       15000  -31774.0000       9108.00000    
       15100  -32050.0000       9240.00000    
       15200  -31962.0000       9194.00000    
       15300  -31926.0000       9184.00000    
       15400  -31834.0000       9114.00000    
       15500  -31722.0000       9148.00000    
       15600  -31798.0000       9110.00000    
       15700  -31526.0000       8978.00000    
       15800  -31690.0000       9138.00000    
       15900  -31582.0000       9014.00000    
       16000  -31914.0000       9198.00000    
       16100  -31954.0000       9258.00000    
       16200  -31806.0000       9166.00000    
       16300  -31838.0000       9170.00000    
       16400  -31838.0000       9156.00000    
       16500  -31886.0000       9190.00000    
       16600  -31750.0000       9176.00000    
       16700  -31634.0000       9086.00000    
       16800  -31962.0000       9220.00000    
       16900  -31570.0000       9072.00000    
       17000  -31846.0000       9112.00000    
       17100  -31926.0000       9150.00000    
       17200  -31766.0000       9150.00000    
       17300  -31770.0000       9112.00000    
       17400  -31806.0000       9146.00000    
       17500  -31850.0000       9144.00000    
       17600  -31714.0000       9134.00000    
       17700  -31942.0000       9140.00000    
       17800  -31426.0000       8948.00000    
       17900  -31634.0000       9008.00000    
       18000  -31426.0000       9024.00000    
       18100  -31814.0000       9086.00000    
       18200  -31634.0000       9052.00000    
       18300  -31762.0000       9072.00000    
       18400  -31910.0000       9236.00000    
       18500  -31738.0000       9050.00000    
       18600  -31886.0000       9242.00000    
       18700  -31490.0000       8974.00000    
       18800  -31410.0000       8914.00000    
       18900  -31486.0000       9024.00000    
       19000  -31854.0000       9150.00000    
       19100  -31922.0000       9164.00000    
       19200  -31654.0000       9120.00000    
       19300  -31630.0000       9126.00000    
       19400  -31654.0000       9104.00000    
